Make,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
Nissan,Frontier,"3,450","3,450","3,881","5,272","5,069","5,272","3,938","3,792","3,938","7,545","7,545","7,545",60697
Nissan,GT-R,16,16,18,17,16,17,23,22,23,20,20,20,228
Nissan,Kicks,"7,815","7,815","8,792","6,598","6,344","6,598","7,011","6,751","7,011","6,075","6,075","6,075",82960
Nissan,Leaf,936,936,"1,053","1,622","1,560","1,622",791,762,791,"1,388","1,388","1,388",14237
Nissan,Maxima,"1,538","1,538","1,731","1,742","1,675","1,742",887,854,887,"1,264","1,264","1,264",16386
Nissan,Murano,"3,687","3,687","4,148","5,232","5,031","5,232","4,140","3,987","4,140","2,277","2,277","2,277",46115
Nissan,NV,"1,304","1,304","1,467","1,789","1,720","1,789",650,626,650,25,25,25,11374
Nissan,NV200,"1,772","1,772","1,994","2,375","2,283","2,375","1,467","1,413","1,467",147,147,147,17359
Nissan,Pathfinder,"2,850","2,850","3,206","1,569","1,509","1,569","5,175","4,983","5,175","4,146","4,146","4,146",41324
Nissan,Rogue,"27,750","27,750","31,219","32,270","31,029","32,270","17,671","17,016","17,671","16,985","16,985","16,985",285601
Nissan,Sentra,"11,916","11,916","13,406","13,716","13,189","13,716","11,125","10,713","11,125","5,680","5,680","5,680",127862
Nissan,Titan,"2,388","2,388","2,687","3,482","3,348","3,482","1,686","1,624","1,686","1,545","1,545","1,545",27406
Nissan,Versa,"7,166","7,166","8,062","6,391","6,145","6,391","3,121","3,006","3,121","3,448","3,448","3,448",60913
Porsche,718,482,482,542,306,294,306,254,245,254,497,497,497,4656
Porsche,911,890,890,"1,002",785,755,785,547,527,547,813,813,813,9167
Porsche,Cayenne,"1,354","1,354","1,523","2,027","1,949","2,027","1,645","1,584","1,645","1,980","1,980","1,980",21048
Porsche,Macan,"2,045","2,045","2,301","1,721","1,655","1,721","1,718","1,654","1,718","1,808","1,808","1,808",22002
Porsche,Panamera,144,144,162,427,411,427,368,354,368,250,250,250,3555
Porsche,Taycan,643,643,723,"1,134","1,091","1,134",628,605,628,506,506,506,8747
Ram,Pickup,"47,628","47,628","53,581","55,455","53,322","55,455","41,075","39,554","41,075","44,872","44,872","44,872",569389
Ram,ProMaster,"3,482","3,482","3,917","6,121","5,886","6,121","6,807","6,555","6,807","4,728","4,728","4,728",63362
Ram,ProMaster,"1,025","1,025","1,153","1,820","1,750","1,820",968,932,968,"1,039","1,039","1,039",14578
Subaru,Ascent,"4,743","4,619","5,111","4,398","4,310","5,192","5,044","5,418","18,878","5,221","5,628","6,088",74650
Subaru,BRZ,163,179,241,118,19,1,-,-,1,24,505,"1,069",2320
Subaru,CrossTrek,"10,431","10,691","14,065","12,599","10,013","6,415","13,402","11,587","11,864","10,591","6,314","9,494",127466
Subaru,Forester,"13,207","13,482","21,005","19,452","20,006","8,813","12,235","12,688","11,366","4,820","3,719","13,930",154723
Subaru,Impreza,"2,771","2,708","3,636","3,447","2,946","1,657",706,"1,287","3,665","3,512","4,300","4,156",34791
Subaru,Impreza,"1,555","1,721","2,290","3,183","3,169","2,354","2,305","2,194","2,449","2,786","1,098","2,037",27141
Subaru,Legacy,"1,746","2,234","2,325","2,464","2,101","2,051","2,375","1,980","1,419","1,315","1,027","1,729",22766
